Results,Entity,Line,Column,CheckID,Check Name,Ignored,Note
"Number of Results: 103","","","","","","",""
  "<a id=""1"">/Users/justinyang/School/CS695/trafficLights/CS695HW2/trafficLightsMultiThread.c</a>","","","","","","",""
    "Identifier is typographically ambiguous to start_time","startTime","50","7","MISRA12_4.5","4.5 Identifiers in the same name space with overlapping visibility should be typographically unambiguous","",""
    "Non distinct external identifier trafficLight1Thread conflicts with entity trafficLight2Thread in file trafficLightsMultiThread.c","trafficLight1Thread","44","5","MISRA12_5.1","5.1 External identifiers shall be distinct","",""
    "Non distinct external identifier trafficLight1Thread conflicts with entity trafficLightCycle in file trafficLightsMultiThread.c","trafficLight1Thread","44","5","MISRA12_5.1","5.1 External identifiers shall be distinct","",""
    "Non distinct external identifier thread1 conflicts with entity thread2 in file trafficLightsMultiThread.c","thread1","47","10","MISRA12_5.1","5.1 External identifiers shall be distinct","",""
    "Non distinct external identifier thread1 conflicts with entity thread3 in file trafficLightsMultiThread.c","thread1","47","10","MISRA12_5.1","5.1 External identifiers shall be distinct","",""
    "Non distinct external identifier thread1 conflicts with entity thread4 in file trafficLightsMultiThread.c","thread1","47","10","MISRA12_5.1","5.1 External identifiers shall be distinct","",""
    "time.h used ","stdio.h","1","0","MISRA12_21.10","21.10 The Standard Library time and date functions shall not be used","",""
    "header file signal.h used.","trafficLightsMultiThread.c","10","0","MISRA12_21.5","21.5 The standard header file signal.h shall not be used","",""
    "Comment appears to contain code","trafficLightsMultiThread.c","13","0","MISRA12_4.4","4.4 Sections of code should not be ""commented out""","",""
    "Basic numerical type ""int"" used","readGPIO","34","11","MISRA12_4.6","4.6 Typedefs that indicate size and signedness should be used in place of the basic numerical types","",""
    "Basic numerical type ""int"" used","baton","55","4","MISRA12_4.6","4.6 Typedefs that indicate size and signedness should be used in place of the basic numerical types","",""
    "Basic numerical type ""char"" used in ""char [3][25]""","trafficLight1Ports","59","13","MISRA12_4.6","4.6 Typedefs that indicate size and signedness should be used in place of the basic numerical types","",""
    "Basic numerical type ""char"" used in ""char [3][25]""","trafficLight2Ports","60","13","MISRA12_4.6","4.6 Typedefs that indicate size and signedness should be used in place of the basic numerical types","",""
